iter	RMSE
0	14.05203434
1	13.96088314
2	13.87376073
3	13.77450506
4	13.68052505
5	13.59480904
6	13.53723893
7	13.46192935
8	13.38995295
9	13.33899516
10	13.27824985
11	13.22741327
12	13.18960884
13	13.12872668
14	13.08987983
15	13.04040666
16	12.98884804
17	12.94838578
18	12.90514056
19	12.86455025
20	12.82860703
21	12.80544313
22	12.76569411
23	12.75485499
24	12.71304788
25	12.67767016
26	12.63874888
27	12.60669168
28	12.57355866
29	12.54526698
30	12.51718004
31	12.48749817
32	12.46015913
33	12.43305019
34	12.40871271
35	12.38351527
36	12.36328715
37	12.34612384
38	12.32512387
39	12.31022022
40	12.29438968
41	12.27634103
42	12.26736037
43	12.24819573
44	12.22942257
45	12.22617243
46	12.21409605
47	12.20543814
48	12.18800395
49	12.17169065
50	12.15558629
51	12.14205943
52	12.12561454
53	12.11000365
54	12.09941547
55	12.08477354
56	12.06753503
57	12.05657805
58	12.04407656
59	12.02818658
60	12.01837208
61	12.00672539
62	11.9928892
63	11.98881757
64	11.97454366
65	11.96477966
66	11.95737617
67	11.94790336
68	11.93719291
69	11.92504084
70	11.9124479
71	11.90244724
72	11.89642307
73	11.88756643
74	11.88150795
75	11.8731753
76	11.8650817
77	11.85370621
78	11.84098424
79	11.83133477
80	11.8212206
81	11.81694716
82	11.80984479
83	11.8007014
84	11.79069395
85	11.78293799
86	11.78083439
87	11.77830344
88	11.7752889
89	11.76868895
90	11.76411375
91	11.75280847
92	11.74694576
93	11.74024166
94	11.73676583
95	11.73574394
96	11.73140535
97	11.7263522
98	11.71672658
99	11.71302131
100	11.7077651
101	11.70602064
102	11.70243138
103	11.69804462
104	11.69597267
105	11.69432705
106	11.69382166
107	11.69308233
108	11.69279122
109	11.68836284
110	11.68742147
111	11.68140171
112	11.67748349
113	11.67295574
114	11.66841069
115	11.6636365
116	11.6542184
117	11.65283966
118	11.6519187
119	11.64615776
120	11.6406038
121	11.63858758
122	11.63328297
123	11.62593468
124	11.62063541
125	11.61629639
126	11.61190187
127	11.61053384
128	11.60517014
129	11.60186557
130	11.59520045
131	11.59462447
132	11.58831325
133	11.588166
134	11.58413146
135	11.57738254
136	11.57075381
137	11.56539822
138	11.55916226
139	11.55455775
140	11.55329877
141	11.545792
142	11.5407539
143	11.54071701
144	11.53933023
145	11.53721139
146	11.53262814
147	11.53160452
148	11.52773391
149	11.52190633
150	11.51769394
151	11.51647795
152	11.51280749
153	11.50776116
154	11.50534478
155	11.5018255
156	11.49786137
157	11.49783073
158	11.49531359
159	11.4933182
160	11.48962709
161	11.48414358
162	11.48034474
163	11.47708421
164	11.47414675
165	11.47176076
166	11.47033767
167	11.46400612
168	11.4609542
169	11.45862033
170	11.45290854
171	11.44990195
172	11.44572047
173	11.44405922
174	11.4412448
175	11.4372947
176	11.43700566
177	11.43517922
178	11.43041051
179	11.42754995
180	11.42752121
181	11.4233345
182	11.41993988
183	11.4165428
184	11.41570382
185	11.41192122
186	11.40629236
187	11.40385723
188	11.40003353
189	11.39691139
190	11.39411074
191	11.38929044
192	11.38599732
193	11.38400219
194	11.38394291
195	11.37941749
196	11.37740945
197	11.37468767
198	11.36969468
199	11.36722978
200	11.36383814
201	11.35941957
202	11.35578772
203	11.35326978
204	11.35156649
205	11.35151259
206	11.35131662
207	11.34800129
208	11.34536412
209	11.34281862
210	11.34237668
211	11.33871898
212	11.33645616
213	11.33283775
214	11.32977298
215	11.32748967
216	11.32318067
217	11.32093617
218	11.31913578
219	11.31732046
220	11.3140669
221	11.31187738
222	11.30872655
223	11.30638085
224	11.30359426
225	11.30055237
226	11.29808394
227	11.29558832
228	11.29108603
229	11.28814099
230	11.28612624
231	11.28410648
232	11.28217903
233	11.28065882
234	11.27768642
235	11.27379783
236	11.27120693
237	11.26749567
238	11.26359293
239	11.26232017
240	11.26041083
241	11.25866259
242	11.25632391
243	11.2543236
244	11.25250127
245	11.25083228
246	11.24775453
247	11.24654034
248	11.24421984
249	11.24236791
250	11.2410912
251	11.23952535
252	11.23761767
253	11.23599271
254	11.2334914
255	11.23234001
256	11.23008029
257	11.22652158
258	11.22443398
259	11.22318606
260	11.22236533
261	11.22026411
262	11.21777807
263	11.21493085
264	11.21211032
265	11.21124866
266	11.21027946
267	11.20892033
268	11.20616937
269	11.20446723
270	11.20300328
271	11.20019763
272	11.19885793
273	11.19626463
274	11.19485874
275	11.19285932
276	11.19150734
277	11.18919133
278	11.18785447
279	11.18543276
280	11.18339258
281	11.18211385
282	11.18085179
283	11.17765753
284	11.17581525
285	11.17417279
286	11.17114247
287	11.17027242
288	11.16943652
289	11.16849051
290	11.16715512
291	11.1652267
292	11.16355193
293	11.16138225
294	11.15935508
295	11.15812515
296	11.15710032
297	11.15555932
298	11.1551541
299	11.15428504
300	11.15321823
301	11.15115137
302	11.15003715
303	11.14725993
304	11.14520281
305	11.14369007
306	11.14266406
307	11.14127338
308	11.14047525
309	11.13868166
310	11.13617624
311	11.13424631
312	11.13324225
313	11.13167302
314	11.13031403
315	11.1292372
316	11.12815494
317	11.12632883
318	11.12404328
319	11.12295461
320	11.12152628
321	11.11979511
322	11.11892501
323	11.1179724
324	11.11696551
325	11.11531678
326	11.11431493
327	11.11145759
328	11.11027703
329	11.10883889
330	11.10790805
331	11.10739244
332	11.10666213
333	11.10579901
334	11.10510982
335	11.10427534
336	11.10321072
337	11.10237168
338	11.10163754
339	11.10089531
340	11.09917926
341	11.09840399
342	11.09691671
343	11.09592067
344	11.0944551
345	11.09302838
346	11.09221332
347	11.09081976
348	11.09033449
349	11.08872816
350	11.08730878
351	11.08660323
352	11.08505824
353	11.08371377
354	11.08180326
355	11.08115531
356	11.07933091
357	11.0782004
358	11.0758285
359	11.07474332
360	11.07411932
361	11.07253422
362	11.07159399
363	11.07115782
364	11.07043597
365	11.06947157
366	11.06916313
367	11.06804011
368	11.06725922
369	11.06587844
370	11.06464495
371	11.06407602
372	11.06182684
373	11.06038728
374	11.05971581
375	11.05911746
376	11.05765189
377	11.05682736
378	11.05616437
379	11.05559979
380	11.05370622
381	11.05165971
382	11.05113892
383	11.05036159
384	11.04943758
385	11.04793876
386	11.04730548
387	11.04598916
388	11.0453595
389	11.04440505
390	11.04376882
391	11.04322839
392	11.0427481
393	11.04197447
394	11.04151918
395	11.04047431
396	11.03968662
397	11.03851813
398	11.03778751
399	11.03644129
400	11.03542195
401	11.03392658
402	11.03323958
403	11.0325478
404	11.03156757
405	11.03032265
406	11.02854002
407	11.02782412
408	11.02694656
409	11.02654987
410	11.02584906
411	11.02536234
412	11.02483759
413	11.02452382
414	11.02351358
415	11.02304374
416	11.02263902
417	11.02219339
418	11.02176674
419	11.02031786
420	11.01864435
421	11.01836885
422	11.0174485
423	11.01680726
424	11.01601266
425	11.0150648
426	11.01459116
427	11.01412368
428	11.01343324
429	11.01270983
430	11.0123125
431	11.01150188
432	11.0102976
433	11.00973822
434	11.00886516
435	11.00772887
436	11.007381
437	11.00682276
438	11.00518623
439	11.004388
440	11.00380727
441	11.00335555
442	11.00303272
443	11.00144511
444	11.00091675
445	11.00048991
446	10.99896416
447	10.99832552
448	10.99710171
449	10.9967042
450	10.99576188
451	10.99529948
452	10.99476168
453	10.99416342
454	10.99325519
455	10.99228572
456	10.99152411
457	10.99120281
458	10.99086045
459	10.9894897
460	10.98904233
461	10.98855947
462	10.98780542
463	10.98642549
464	10.98620131
465	10.98539195
466	10.9845641
467	10.98406339
468	10.9832587
469	10.98264165
470	10.98226394
471	10.98179674
472	10.98129371
473	10.98067759
474	10.9802498
475	10.97997998
476	10.9788861
477	10.97762355
478	10.97697314
479	10.97633821
480	10.97543229
481	10.97497483
482	10.97369782
483	10.97325597
484	10.97293037
485	10.97245517
486	10.97216927
487	10.9717418
488	10.97071186
489	10.9700735
490	10.96957583
491	10.96920871
492	10.96868509
493	10.96822243
494	10.96741379
495	10.96711571
496	10.96643186
497	10.96600154
498	10.96548942
499	10.96451548
500	10.96428836
501	10.96398286
502	10.96308281
503	10.96276426
504	10.96227789
505	10.96165139
506	10.96044919
507	10.96025815
508	10.95986344
509	10.959742
510	10.95915513
511	10.95884954
512	10.95865959
513	10.95824754
514	10.95742604
515	10.95683026
516	10.95641397
517	10.95595317
518	10.95532498
519	10.95489212
520	10.95471933
521	10.95436821
522	10.95397431
523	10.95345381
524	10.95303233
525	10.9523695
526	10.95216943
527	10.95173211
528	10.95159506
529	10.95122074
530	10.9508698
531	10.95060629
532	10.95014667
533	10.94960411
534	10.94940977
535	10.94915441
536	10.9490252
537	10.94871314
538	10.94802164
539	10.94734445
540	10.94711672
541	10.94686689
542	10.94633881
543	10.94600253
544	10.9449943
545	10.94455253
546	10.94380442
547	10.94312786
548	10.94219677
549	10.94180593
550	10.94140215
551	10.94109565
552	10.94084129
553	10.93979231
554	10.93895434
555	10.93877776
556	10.93857204
557	10.93777498
558	10.93754239
559	10.93731758
560	10.93656217
561	10.93625317
562	10.9360142
563	10.93568167
564	10.93543351
565	10.93512864
566	10.93465361
567	10.93441216
568	10.93426051
569	10.93413829
570	10.93396593
571	10.93307736
572	10.93296059
573	10.93250151
574	10.93223702
575	10.93204475
576	10.93172312
577	10.93152527
578	10.93113347
579	10.93039289
580	10.92995213
581	10.92957476
582	10.92904487
583	10.92889122
584	10.92845404
585	10.92814167
586	10.92783677
587	10.92741959
588	10.92698922
589	10.92629912
590	10.92605907
591	10.92518945
592	10.92504429
593	10.92484093
594	10.92415295
595	10.92395746
596	10.92343317
597	10.9232058
598	10.92277546
599	10.9222951
600	10.92205071
601	10.92153614
602	10.92074665
603	10.92056554
604	10.92021506
605	10.91998396
606	10.91949469
607	10.91868412
608	10.9183758
609	10.91810704
610	10.91735445
611	10.91710113
612	10.91692842
613	10.91649071
614	10.91586679
615	10.9156856
616	10.91557191
617	10.91544578
618	10.91526119
619	10.91497774
620	10.91471621
621	10.91442922
622	10.91425934
623	10.91403638
624	10.91347138
625	10.91307533
626	10.9127566
627	10.91233737
628	10.91191973
629	10.91164619
630	10.91144447
631	10.91080957
632	10.91063504
633	10.91051114
634	10.91029628
635	10.90999599
636	10.90965805
637	10.90949529
638	10.90892159
639	10.90865438
640	10.908447
641	10.9082472
642	10.90804869
643	10.9078213
644	10.90758662
645	10.90737927
646	10.90708142
647	10.90647813
648	10.90597236
649	10.90541774
650	10.90512537
651	10.90496657
652	10.90449478
653	10.90426932
654	10.90412134
655	10.90388027
656	10.90326234
657	10.90273387
658	10.90214637
659	10.9020243
660	10.90173014
661	10.90159113
662	10.9014057
663	10.90084141
664	10.90060334
665	10.90051404
666	10.90038836
667	10.90010797
668	10.89963351
669	10.89930147
670	10.89912435
671	10.89853523
672	10.89822821
673	10.89802228
674	10.89787298
675	10.89768304
676	10.89752565
677	10.89734241
678	10.89710589
679	10.89683068
680	10.8962176
