iter	Passed	Remaining
0	1	1105
1	1	844
2	2	785
3	3	775
4	4	809
5	5	843
6	5	801
7	6	812
8	7	822
9	7	788
10	8	785
11	9	767
12	9	739
13	10	738
14	10	721
15	11	732
16	12	740
17	13	744
18	14	742
19	15	743
20	15	744
21	16	731
22	17	729
23	17	714
24	18	721
25	19	741
26	20	741
27	21	743
28	22	746
29	23	749
30	24	752
31	25	759
32	25	761
33	27	773
34	28	779
35	29	783
36	30	786
37	31	789
38	32	792
39	33	798
40	34	811
41	35	815
42	36	809
43	37	812
44	38	812
45	38	805
46	39	805
47	40	805
48	41	804
49	42	803
50	43	806
51	44	808
52	45	809
53	46	809
54	47	808
55	48	815
56	49	820
57	50	822
58	51	822
59	52	823
60	53	823
61	54	819
62	54	816
63	55	809
64	56	806
65	56	803
66	57	801
67	58	798
68	58	795
69	59	792
70	60	789
71	60	785
72	61	781
73	62	780
74	63	784
75	64	782
76	65	779
77	65	776
78	66	773
79	67	771
80	67	770
81	68	770
82	69	771
83	70	769
84	71	767
85	71	765
86	72	761
87	73	757
88	73	754
89	74	752
90	75	750
91	75	749
92	77	752
93	78	754
94	79	753
95	79	750
96	80	748
97	82	756
98	83	757
99	84	758
100	85	758
101	85	756
102	86	756
103	87	755
104	88	751
105	88	749
106	89	746
107	89	743
108	90	739
109	91	738
110	91	736
111	93	738
112	94	738
113	95	739
114	96	741
115	97	743
116	98	746
117	99	746
118	100	745
119	101	744
120	102	746
121	103	746
122	104	744
123	105	743
124	106	743
125	107	743
126	108	746
127	109	745
128	110	744
129	110	742
130	111	741
131	112	738
132	112	736
133	113	732
134	114	730
135	114	728
136	115	727
137	116	725
138	116	723
139	117	722
140	118	720
141	119	719
142	119	717
143	120	714
144	121	715
145	122	716
146	123	716
147	124	714
148	124	712
149	125	712
150	126	710
151	127	708
152	127	707
153	128	706
154	129	704
155	130	703
156	130	701
157	130	698
158	131	696
159	132	694
160	133	693
161	133	691
162	134	689
163	135	690
164	136	690
165	137	690
166	138	689
167	139	689
168	140	689
169	141	689
170	141	687
171	142	686
172	143	684
173	143	682
174	144	681
175	145	680
176	145	678
177	146	677
178	147	676
179	148	674
180	148	671
181	149	670
182	150	672
183	151	673
184	152	673
185	153	673
186	155	673
187	155	673
188	156	672
189	157	670
190	157	669
191	158	667
192	159	666
193	160	665
194	160	662
195	161	661
196	161	660
197	162	659
198	163	659
199	164	659
200	165	659
201	166	659
202	167	658
203	168	656
204	169	655
205	169	652
206	169	650
207	170	649
208	171	647
209	172	647
210	172	645
211	173	645
212	174	644
213	175	643
214	176	642
215	176	641
216	177	640
217	178	639
218	179	638
219	179	637
220	180	636
221	181	635
222	182	634
223	182	633
224	183	633
225	184	633
226	185	631
227	186	630
228	186	629
229	187	628
230	188	627
231	189	625
232	190	625
233	191	625
234	191	624
235	192	624
236	194	624
237	195	624
238	196	624
239	196	623
240	197	622
241	198	621
242	199	620
243	199	619
244	200	618
245	201	616
246	202	615
247	202	614
248	203	613
249	204	612
250	204	610
251	205	609
252	206	608
253	206	607
254	207	606
255	208	607
256	209	606
257	210	606
258	211	605
259	212	604
260	212	602
261	213	601
262	214	600
263	215	599
264	215	598
265	216	597
266	217	595
267	217	595
268	218	594
269	219	593
270	220	591
271	220	591
272	221	589
273	222	589
274	223	589
275	224	589
276	225	588
277	226	587
278	227	587
279	228	586
280	228	585
281	229	585
282	230	583
283	231	583
284	232	582
285	233	582
286	234	581
287	234	580
288	235	579
289	236	578
290	236	577
291	237	576
292	238	576
293	239	575
294	240	575
295	241	574
296	242	573
297	242	572
298	243	570
299	244	569
300	245	570
301	246	569
302	246	568
303	247	566
304	248	565
305	248	564
306	249	563
307	250	562
308	251	562
309	252	561
310	253	560
311	253	560
312	254	558
313	255	557
314	255	556
315	256	555
316	257	554
317	258	553
318	258	552
319	259	551
320	260	550
321	261	549
322	261	548
323	262	547
324	263	546
325	263	545
326	264	544
327	265	543
328	266	543
329	267	543
330	268	542
331	269	541
332	269	540
333	270	539
334	271	538
335	272	537
336	272	536
337	273	535
338	273	534
339	274	533
340	275	532
341	276	531
342	276	530
343	277	529
344	278	528
345	278	527
346	279	526
347	280	525
348	281	524
349	282	524
350	283	523
351	283	522
352	284	521
353	285	520
354	286	520
355	287	520
356	288	519
357	289	518
358	289	517
359	290	516
360	291	515
361	291	514
362	292	513
363	293	512
364	293	511
365	294	510
366	295	510
367	296	509
368	297	508
369	298	507
370	299	506
371	299	506
372	300	505
373	301	504
374	302	504
375	303	503
376	304	502
377	305	502
378	306	501
379	307	501
380	307	500
381	308	499
382	310	499
383	311	499
384	312	498
385	313	498
386	314	497
387	315	497
388	315	496
389	316	495
390	317	494
391	318	493
392	318	492
393	319	491
394	320	490
395	320	489
396	321	488
397	322	487
398	323	486
399	324	486
400	325	485
401	325	484
402	327	484
403	327	483
404	328	482
405	329	481
406	330	481
407	330	480
408	331	479
409	332	478
410	333	477
411	334	477
412	335	476
413	335	475
414	336	474
415	337	473
416	338	472
417	338	471
418	339	470
419	340	470
420	341	469
421	342	468
422	342	467
423	343	466
424	344	465
